subject,state,device,fs,n_channels,channels,n_samples,duration_sec,recording_id,title_internal,label_mismatch,flags,file
Shaurya,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Shaurya_Neutral_Shaurya-Neutral-2,,False,,Shaurya-Neutral-2.csv
Shaurya,Neutral,Muse,250.0,2,AF7+AF8,15216,60.9,Shaurya_Neutral_Shaurya-Neutral-3,,False,,Shaurya-Neutral-3.csv
Shaurya,Neutral,Muse,250.0,2,AF7+AF8,2328,9.3,Shaurya_Neutral_Shaurya-Neutral-4,,False,,Shaurya-Neutral-4.csv
Shaurya,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Shaurya_Neutral_Shaurya-Neutral-5,,False,,Shaurya-Neutral-5.csv
Shaurya,Neutral,Muse,250.0,2,AF7+AF8,15216,60.9,Shaurya_Neutral_Shaurya-Neutral-6,,False,,Shaurya-Neutral-6.csv
Shaurya,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Shaurya_Neutral_Shaurya-Neutral-7,,False,,Shaurya-Neutral-7.csv
Shaurya,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Shaurya_Neutral_Shaurya-Neutral-8,,False,,Shaurya-Neutral-8.csv
Shaurya,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Shaurya_Neutral_Shaurya-Neutral-9,,False,,Shaurya-Neutral-9.csv
Shaurya,Relaxed,Emotiv,128.0,2,F7+F8,21007,164.1,Shaurya_Relaxed_1732966306,Shaurya-Relaxed-1,False,,Shaurya-Relaxed-1_EPOCFLEX_250520_2024.11.30T17.01.46+05.30.md.bp.csv
Shaurya,Relaxed,Emotiv,128.0,2,F7+F8,21007,164.1,Shaurya_Relaxed_1732966306,Shaurya-Relaxed-1,False,,Shaurya-Relaxed-3_EPOCFLEX_250520_2024.11.30T17.01.46+05.30.md.bp.csv
Shaurya,Relaxed,Emotiv,128.0,2,F7+F8,21007,164.1,Shaurya_Relaxed_1732966306,Shaurya-Relaxed-1,False,,Shaurya-Relaxed-4_EPOCFLEX_250520_2024.11.30T17.01.46+05.30.md.bp.csv
Shaurya,Relaxed,Emotiv,128.0,2,F7+F8,21007,164.1,Shaurya_Relaxed_1732966306,Shaurya-Relaxed-1,False,,Shaurya-Relaxed-5_EPOCFLEX_250520_2024.11.30T17.01.46+05.30.md.bp.csv
Shaurya,Relaxed,Emotiv,128.0,2,F7+F8,21007,164.1,Shaurya_Relaxed_1732966306,Shaurya-Relaxed-1,False,,Shaurya-Relaxed-6_EPOCFLEX_250520_2024.11.30T17.01.46+05.30.md.bp.csv
Shaurya,Relaxed,Emotiv,128.0,2,F7+F8,21007,164.1,Shaurya_Relaxed_1732966306,Shaurya-Relaxed-1,False,,Shaurya-Relaxed-8_EPOCFLEX_250520_2024.11.30T17.01.46+05.30.md.bp.csv
Shaurya,Relaxed,Emotiv,128.0,2,F7+F8,21586,168.6,Shaurya_Relaxed_1732966819,Shaurya-Relaxed-2,False,,Shaurya-Relaxed-10_EPOCFLEX_250520_2024.11.30T17.10.19+05.30.md.bp.csv
Shaurya,Relaxed,Emotiv,128.0,2,F7+F8,21586,168.6,Shaurya_Relaxed_1732966819,Shaurya-Relaxed-2,False,,Shaurya-Relaxed-2_EPOCFLEX_250520_2024.11.30T17.10.19+05.30.md.bp.csv
Shaurya,Relaxed,Emotiv,128.0,2,F7+F8,21586,168.6,Shaurya_Relaxed_1732966819,Shaurya-Relaxed-2,False,,Shaurya-Relaxed-7_EPOCFLEX_250520_2024.11.30T17.10.19+05.30.md.bp.csv
Shaurya,Relaxed,Emotiv,128.0,2,F7+F8,21586,168.6,Shaurya_Relaxed_1732966819,Shaurya-Relaxed-2,False,,Shaurya-Relaxed-9_EPOCFLEX_250520_2024.11.30T17.10.19+05.30.md.bp.csv
